,DATE,HEADLINE,SOURCE,URL,DESCRIPTION,API
0,2020-04-23 19:12:00 UTC,Nevada’s COVID-19 death toll inches upward,Las Vegas Sun,https://lasvegassun.com/news/2020/apr/23/nevadas-covid-19-death-toll-inches-upward/,"Clark County accounts for about % of the coronavirus deaths reported in Nevada, where the death toll had reached on Thursday afternoon.",GOOGLE NEWS API
1,2020-04-23 19:11:00 UTC,Secretary Pompeo is 'very confident' that the Chinese government will pay a price for coronavirus crisis,YAHOO!,https://news.yahoo.com/secretary-pompeo-very-confident-chinese-015022393.html,"We still don't have full transparency on COVID-19 pandemic from Chinese Communist Party, says Secretary of State Mike Pompeo.",GOOGLE NEWS API
2,2020-04-23 19:09:00 UTC,Family of Wayne Farms Albertville employee blames plant for COVID-19 uptick,YAHOO!,https://news.yahoo.com/family-wayne-farms-albertville-employee-012550319.html,The number of positive COVID-19 cases continues to rise in Marshall County. Wayne Farms Albertville spokesman Frank Singleton says that employees have tested positive for the novel coronavirus.,GOOGLE NEWS API
3,2020-04-23 19:07:00 UTC,Coronavirus: 'The mosque is our home.' Ramadan will be different this year for practicing Muslims,Cincinnati Enquirer,https://www.cincinnati.com/story/news/2020/04/23/coronavirus-the-mosque-our-home-ramadan-prayers-streamed-online/3005265001/,"The Islamic Center of Greater Cincinnati is practicing social distancing this year during Ramadan, the holiest month of the year for Muslims.",GOOGLE NEWS API
4,2020-04-23 19:06:00 UTC,Coronavirus prompts Kansas to ease medical licensing rules,SFGate,https://www.sfgate.com/news/article/Coronavirus-prompts-Kansas-to-ease-medical-15220999.php,"TOPEKA, Kan. (AP) — Gov. Laura Kelly has suspended multiple regulations licensing medical professionals to make it easier for them to work in health care facilities and nursing homes. The executive ...",GOOGLE NEWS API
5,2020-04-23 19:06:00 UTC,'Our moon shot': Vaccine makers go ahead with unproven candidates to meet 2021 goal – that experts say may be unrealistic,USA Today,https://www.usatoday.com/story/news/2020/04/23/coronavirus-vaccine-makers-covid-19-crisis/2983177001/?ref=hvper.com,"In a series of breathtaking multibillion-dollar bets by vaccine makers, possible candidates to fight the new coronavirus are being prepared for production across the globe, before it’s even known ...",GOOGLE NEWS API
6,2020-04-23 19:05:00 UTC,Facts and Myths About Coronavirus Antibody Tests,Wall Street Journal,https://www.wsj.com/articles/facts-and-myths-about-coronavirus-antibody-tests-11587675200,How reliable are they? How can (and should) you get them? We answer the most important questions.,GOOGLE NEWS API
7,2020-04-23 19:03:00 UTC,How the National Security State Is Using Coronavirus,OpEdNews,https://www.opednews.com/articles/How-the-National-Security-by-Whitney-Webb-Artificial-Intelligence_National-Security_Pandemic-200424-769.html,"The FOIA document, obtained by the Electronic Privacy Information Center (EPIC), was produced by a little-known U.S. government organization called the National Security Commission on Artificial ...",GOOGLE NEWS API
8,2020-04-23 19:01:00 UTC,Johnson & Johnson Taps Emergent BioSolutions to Help Manufacture Its COVID-19 Vaccine,Nasdaq,https://www.nasdaq.com/articles/johnson-johnson-taps-emergent-biosolutions-to-help-manufacture-its-covid-19-vaccine-2020,"Johnson & Johnson (NYSE: JNJ) signed a contract to pay Emergent BioSolutions (NYSE: EBS) $135 million to help manufacture its vaccine to treat COVID-19, the disease caused by the novel coronavirus.",GOOGLE NEWS API
9,2020-04-23 18:57:00 UTC,"Pilots, Drivers Honor Health Care Workers In Time Of Coronavirus",YAHOO!,https://news.yahoo.com/pilots-drivers-honor-health-care-194646963.html,"FREDERICKSBURG, VA — Pilots flew vintage World War II Stearman biplanes and local residents participated in a car parade in Fredericksburg Wednesday to honor health care workers who are working on the ...",GOOGLE NEWS API
10,2020-04-20T14:00:00Z,Fight Coronavirus BS in Your Facebook Newsfeed,Lifehacker.com,https://lifehacker.com/how-to-help-facebook-fight-coronavirus-bs-in-your-newsf-1842925605,"If you get your news from Facebook, that’s problem number one. Why? Well, it would take an effort of pandemic-response-sized proportions to get people to stop sharing bullshit on Facebook. And you see how well our pandemic response is going...Read more...",NEWS API
11,2020-04-20T14:00:00Z,Coronavirus News Fatigue Is Officially Setting In,Wired,https://www.wired.com/story/coronavirus-news-fatigue-is-officially-setting-in/,News fatigue isn't new. But it could indicate problematic changes in our behavior with respect to the pandemic.,NEWS API
12,2020-04-13T11:00:00Z,Today's Cartoon: Coronavirus Battle,Wired,https://www.wired.com/story/wired-cartoons-week-35/,A heroic effort.,NEWS API
13,2020-04-20T20:30:00Z,Don't Get Suckered by These Coronavirus Phishing Scams,Lifehacker.com,https://lifehacker.com/dont-get-suckered-by-these-coronavirus-phishing-scams-1842967378,"The severity of the COVID-19 pandemic is the perfect backdrop for scammers to try and sucker you with schemes. We’ve seen fake coronavirus tracker apps and fake charities, and now coronavirus-related phishing scams are on the rise, too. Read more...",NEWS API
14,2020-04-03T18:32:19Z,"The Biggest Coronavirus Myths, Busted",Wired,https://www.wired.com/story/the-biggest-coronavirus-myths-busted/,"No, drinking water won’t flush the virus out of your mouth. Here’s how to inoculate yourself against bad Covid-19 information.",NEWS API
15,2020-03-27T19:15:00Z,"All Your Coronavirus Relief Check Questions, Answered",Lifehacker.com,https://twocents.lifehacker.com/all-your-coronavirus-relief-check-questions-answered-1842526582,"When the Senate passed a gigantic coronavirus economic relief bill that includes checks of up to $1,200 for many Americans, a lot of people reacted like it was a done deal. But even though the House of Representatives approved it today, the bill isn’t a law y…",NEWS API
16,2020-04-09T19:30:00Z,How to Spot a Fake Coronavirus Expert,Lifehacker.com,https://vitals.lifehacker.com/how-to-spot-a-fake-coronavirus-expert-1842780723,Here’s the thing about a pandemic: it’s everywhere. Everybody wants to read something reassuring. Everybody wants to say something useful. Everybody thinks their perspective matters. And most of us should just shut up so we can hear the actual eerts speak. …,NEWS API
17,2020-03-22T23:34:00Z,Siri Can Now Field Questions About Coronavirus,Lifehacker.com,https://lifehacker.com/siri-can-now-field-questions-about-coronavirus-1842447562,"If you have questions about Coronavirus, now you have another source available to get answers: Siri. Read more...",NEWS API
18,2020-04-08T17:09:25Z,Coronavirus: 100 giorni dal primo allarme,ANSA.it,https://www.ansa.it/sito/notizie/politica/2020/04/08/coronavirus-100-giorni-dal-primo-allarme_ae858053-8297-4ba2-8333-e48c27bac41e.html,Il dicembre la notifica della polmonite che ha cambiato mondo (ANSA),NEWS API
19,2020-04-23T13:00:00Z,All the Ways to Kill a Coronavirus (So Far),Wired,https://www.wired.com/story/all-the-ways-to-kill-a-coronavirus-so-far/,Even a bug this ruthless has a few fatal weaknesses of its own.,NEWS API
20,2020-04-21T15:47:00Z,"Non-Filers, Request Coronavirus Relief Payment for Your Kids by Tomorrow",Lifehacker.com,https://twocents.lifehacker.com/non-filers-request-coronavirus-relief-payment-for-your-1842981763,"If you don’t typically file a tax return, you’re running out of time to request the $500-per-child coronavirus relief payment for your kids.Read more...",NEWS API
21,2020-04-20T13:00:00Z,The Covid-19 Newsletter That's By Doctors for Doctors,Wired,https://www.wired.com/story/the-covid-19-newsletter-thats-by-doctors-for-doctors/,A team of critical care specialists has a side project debunking questionable coronavirus theories for other medical professionals.,NEWS API
22,2020-04-08T19:11:26Z,Amazon extends return window amid coronavirus pandemic,Engadget,https://www.engadget.com/amazon-extends-return-window-coronavirus-191126398.html,"Amazon is temporarily extending its return policy window to help its customers during the coronavirus crisis. If you live in the US or Canada, you now have until May st to return any products you buy between now and April th through Amazon or one of the c…",NEWS API
23,2020-04-21T11:00:00Z,How Is the Coronavirus Pandemic Affecting Climate Change?,Wired,https://www.wired.com/story/coronavirus-pandemic-climate-change/,"Sure, emissions have fallen. But a closer look at how the global crisis is influencing the environment reveals some surprising dynamics.",NEWS API
24,2020-04-22T16:00:00Z,Google Sees State-Sponsored Hackers Ramping Up Coronavirus Attacks,Wired,https://www.wired.com/story/google-state-sponsored-hackers-coronavirus-phishing-malware/,"More than government-backed groups are using the pandemic as cover for digital reconnaissance and espionage, according to a new report.",NEWS API
25,2020-04-06T13:47:00Z,,Lifehacker.com,https://lifehacker.com/gizmodo-could-trump-cancel-the-election-because-of-coro-1842704079,Gizmodo Could Trump Cancel the Election Because of Coronavirus? | The A.V. Club Not ready for prime time: animated series that didn’t make it a full season | Deadspin Retro Video Game Quarantine Hits the Hardwood with NES Double Dribble | The Root Blacks a…,NEWS API
26,2020-03-24T14:00:00Z,You Can See the Coronavirus From Space,Wired,https://www.wired.com/story/coronavirus-satellite-imagery/,"Satellite images show empty cities, pop-up mega-hospitals, and other signs of the pandemic's spread.",NEWS API
27,2020-04-22T16:47:02Z,Researchers want social media companies to preserve coronavirus misinformation data,The Verge,https://www.theverge.com/2020/4/22/21231061/cpj-access-now-researchers-letter-social-media-platform-coronavirus-preserve-misinformation-data,"The Committee to Protect Journalists, Access Now, the EFF, and other organizations have asked social media companies to preserve misinformation takedown data during the coronavirus pandemic for future research and transparency purposes.",NEWS API
28,2020-03-23T17:11:23Z,Harvey Weinstein Reportedly Tests Positive for Coronavirus,Wired,https://www.wired.com/story/harvey-weinstein-reportedly-tests-positive-for-coronavirus/,The disgraced Hollywood mogul is currently serving a -year prison sentence in New York.,NEWS API
29,2020-04-21T11:00:00Z,The Pandemic Can Taint the Memory of Things We Love,Wired,https://www.wired.com/story/culture-coronavirus-covid-19-memories/,"Music, binge-watching, sourdough starters—these things are helping people cope. Will coronavirus also ruin them forever?",NEWS API
